Player,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn
RR Pant,8.00,8.00,14.00,13.00,1.00,3.00,1.75
Litton Das,7.00,7.00,8.00,4.00,4.00,2.00,1.14
N Pooran,7.00,7.00,8.00,8.00,0.00,2.00,1.14
Q de Kock,9.00,9.00,8.00,6.00,2.00,1.00,0.89
JC Buttler,8.00,8.00,7.00,5.00,2.00,2.00,0.88
DP Conway,4.00,4.00,6.00,5.00,1.00,3.00,1.50
Rahmanullah Gurbaz,8.00,8.00,6.00,6.00,0.00,2.00,0.75
S Movva,3.00,3.00,5.00,5.00,0.00,2.00,1.67
Mohammad Rizwan,4.00,3.00,4.00,4.00,0.00,2.00,1.33
ZE Green,4.00,4.00,4.00,3.00,1.00,2.00,1.00
MH Cross,4.00,3.00,3.00,2.00,1.00,2.00,1.00
K Doriga,4.00,4.00,3.00,3.00,0.00,2.00,0.75
MS Wade,7.00,7.00,3.00,3.00,0.00,2.00,0.43
Aasif Sheikh,3.00,3.00,2.00,1.00,1.00,1.00,0.67
BKG Mendis,3.00,3.00,2.00,0.00,2.00,2.00,0.67
LJ Tucker,3.00,3.00,2.00,2.00,0.00,2.00,0.67
SA Edwards,4.00,4.00,2.00,2.00,0.00,1.00,0.50
AGS Gous,6.00,4.00,1.00,1.00,0.00,1.00,0.25
S Ssesazi,4.00,4.00,1.00,1.00,0.00,1.00,0.25
Azam Khan,1.00,1.00,0.00,0.00,0.00,0.00,0.00
Naseem Khushi,2.00,1.00,0.00,0.00,0.00,0.00,0.00
MD Patel,2.00,2.00,0.00,0.00,0.00,0.00,0.00
PS Athavale,3.00,3.00,0.00,0.00,0.00,0.00,0.00
